seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,4.0,BHK,Independent Floor,Anand Niketan,175000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Greater Kailash II,300000.0,5500.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Greater Kailash II,100000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Sarvodaya Enclave,110000.0,3200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,275000.0,4000.0,Furnished,5.0
AGENT,4.0,BHK,Independent Floor,Panchsheel Park,180000.0,2500.0,Unfurnished,5.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,225000.0,2200.0,Unfurnished,5.0
AGENT,4.0,BHK,Independent Floor,Shanti Niketan,200000.0,2200.0,Unfurnished,5.0
AGENT,3.0,BHK,Independent Floor,Golf Links,230000.0,2200.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,110000.0,2925.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,130000.0,2700.0,Semi-Furnished,3.0
AGENT,3.0,BHK,Independent Floor,Defence Colony,110000.0,2200.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Greater kailash 1,90000.0,2000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Hauz Khas,220000.00000000003,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,250000.0,3000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,140000.0,2200.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Greater Kailash II,80000.0,1500.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,130000.0,2000.0,Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,120000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,280000.0,3000.0,Semi-Furnished,4.0
AGENT,3.0,BHK,Independent Floor,Vasant Vihar,170000.0,2000.0,Semi-Furnished,3.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,100000.0,2000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Green Park,175000.0,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,South Extension 2,150000.0,2500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,South Extension 2,150000.0,4500.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,135000.0,3600.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Anand Niketan,180000.0,2200.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Anand Niketan,225000.0,4000.0,Semi-Furnished,4.0
AGENT,4.0,BHK,Independent Floor,Vasant Vihar,400000.0,5500.0,Unfurnished,5.0
AGENT,4.0,BHK,Independent Floor,Gulmohar park,160000.0,2700.0,Semi-Furnished,5.0
